,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/14),29667.0,1일전 (04/13),32333.0,1주일전 (04/07),42667.0,2주일전 (03/31),46000.0,1개월전,61833.0,1년전,36083.0,일평년,40528.0,2020-04-14
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/14),23667.0,1일전 (04/13),26333.0,1주일전 (04/07),36667.0,2주일전 (03/31),40000.0,1개월전,55917.0,1년전,31333.0,일평년,33493.0,2020-04-14
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/14),17000.0,1일전 (04/13),16667.0,1주일전 (04/07),19000.0,2주일전 (03/31),22667.0,1개월전,33167.0,1년전,22500.0,일평년,24078.0,2020-04-14
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/14),12667.0,1일전 (04/13),12333.0,1주일전 (04/07),14667.0,2주일전 (03/31),18333.0,1개월전,28167.0,1년전,18083.0,일평년,19272.0,2020-04-14
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/15),,1일전 (04/14),15000.0,1주일전 (04/08),17500.0,2주일전 (04/01),15000.0,1개월전,27250.0,1년전,16125.0,일평년,19208.0,2020-04-15
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/15),,1일전 (04/14),11500.0,1주일전 (04/08),14000.0,2주일전 (04/01),11500.0,1개월전,23750.0,1년전,12625.0,일평년,15278.0,2020-04-15
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/15),,1일전 (04/14),29667.0,1주일전 (04/08),41000.0,2주일전 (04/01),44667.0,1개월전,61833.0,1년전,36083.0,일평년,40528.0,2020-04-15
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/15),,1일전 (04/14),23667.0,1주일전 (04/08),35000.0,2주일전 (04/01),38667.0,1개월전,55917.0,1년전,31333.0,일평년,33493.0,2020-04-15
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/15),,1일전 (04/14),17000.0,1주일전 (04/08),19000.0,2주일전 (04/01),22000.0,1개월전,33167.0,1년전,22500.0,일평년,24078.0,2020-04-15
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/15),,1일전 (04/14),12667.0,1주일전 (04/08),14667.0,2주일전 (04/01),17667.0,1개월전,28167.0,1년전,18083.0,일평년,19272.0,2020-04-15
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/16),15000.0,1일전 (04/15),,1주일전 (04/09),17000.0,2주일전 (04/02),16000.0,1개월전,27400.0,1년전,15800.0,일평년,19333.0,2020-04-16
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/16),11500.0,1일전 (04/15),,1주일전 (04/09),13500.0,2주일전 (04/02),12500.0,1개월전,23900.0,1년전,12300.0,일평년,15378.0,2020-04-16
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/16),33333.0,1일전 (04/15),,1주일전 (04/09),38333.0,2주일전 (04/02),46000.0,1개월전,60533.0,1년전,35667.0,일평년,39967.0,2020-04-16
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/16),27000.0,1일전 (04/15),,1주일전 (04/09),32333.0,2주일전 (04/02),40000.0,1개월전,54600.0,1년전,30933.0,일평년,32870.0,2020-04-16
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/16),16667.0,1일전 (04/15),,1주일전 (04/09),18000.0,2주일전 (04/02),20333.0,1개월전,32800.0,1년전,23933.0,일평년,24506.0,2020-04-16
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/16),12167.0,1일전 (04/15),,1주일전 (04/09),13667.0,2주일전 (04/02),16000.0,1개월전,27800.0,1년전,19400.0,일평년,19661.0,2020-04-16
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/17),15000.0,1일전 (04/16),15000.0,1주일전 (04/10),17000.0,2주일전 (04/03),16000.0,1개월전,27200.0,1년전,15800.0,일평년,19317.0,2020-04-17
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/17),11500.0,1일전 (04/16),11500.0,1주일전 (04/10),13500.0,2주일전 (04/03),12500.0,1개월전,23700.0,1년전,12300.0,일평년,15361.0,2020-04-17
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/17),34000.0,1일전 (04/16),33333.0,1주일전 (04/10),36667.0,2주일전 (04/03),47000.0,1개월전,58933.0,1년전,35400.0,일평년,39789.0,2020-04-17
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/17),27667.0,1일전 (04/16),27000.0,1주일전 (04/10),30667.0,2주일전 (04/03),41000.0,1개월전,52933.0,1년전,30667.0,일평년,32693.0,2020-04-17
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/17),16333.0,1일전 (04/16),16667.0,1주일전 (04/10),17333.0,2주일전 (04/03),20333.0,1개월전,32000.0,1년전,25000.0,일평년,24844.0,2020-04-17
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/17),11833.0,1일전 (04/16),12167.0,1주일전 (04/10),13000.0,2주일전 (04/03),16000.0,1개월전,27000.0,1년전,20467.0,일평년,20000.0,2020-04-17
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/18),,1일전 (04/17),15000.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,27200.0,1년전,15800.0,일평년,19317.0,2020-04-18
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/18),,1일전 (04/17),11500.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,23700.0,1년전,12300.0,일평년,15361.0,2020-04-18
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/18),,1일전 (04/17),34000.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,58933.0,1년전,35400.0,일평년,39789.0,2020-04-18
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/18),,1일전 (04/17),27667.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,52933.0,1년전,30667.0,일평년,32693.0,2020-04-18
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/18),,1일전 (04/17),16333.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,32000.0,1년전,25000.0,일평년,24844.0,2020-04-18
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/18),,1일전 (04/17),11833.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,27000.0,1년전,20467.0,일평년,20000.0,2020-04-18
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/20),13500.0,1일전 (04/19),,1주일전 (04/13),15500.0,2주일전 (04/06),17500.0,1개월전,22300.0,1년전,16000.0,일평년,18467.0,2020-04-20
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/20),10000.0,1일전 (04/19),,1주일전 (04/13),12000.0,2주일전 (04/06),14000.0,1개월전,18800.0,1년전,12500.0,일평년,14717.0,2020-04-20
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/20),25667.0,1일전 (04/19),,1주일전 (04/13),32333.0,2주일전 (04/06),43667.0,1개월전,49733.0,1년전,32833.0,일평년,36767.0,2020-04-20
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/20),20000.0,1일전 (04/19),,1주일전 (04/13),26333.0,2주일전 (04/06),37667.0,1개월전,43733.0,1년전,28083.0,일평년,29732.0,2020-04-20
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/20),16333.0,1일전 (04/19),,1주일전 (04/13),16667.0,2주일전 (04/06),18667.0,1개월전,27200.0,1년전,24000.0,일평년,23467.0,2020-04-20
