,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/29),19540.0,1일전 (03/28),20340.0,1주일전 (03/22),17400.0,2주일전 (03/15),17800.0,1개월전,19148.0,1년전,15120.0,일평년,15813.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/29),14740.0,1일전 (03/28),15540.0,1주일전 (03/22),12800.0,2주일전 (03/15),13200.0,1개월전,14228.0,1년전,11576.0,일평년,11846.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/30),17480.0,1일전 (03/29),19540.0,1주일전 (03/23),18940.0,2주일전 (03/16),17800.0,1개월전,19148.0,1년전,14752.0,일평년,15656.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/30),12680.0,1일전 (03/29),14740.0,1주일전 (03/23),14340.0,2주일전 (03/16),13200.0,1개월전,14228.0,1년전,11256.0,일평년,11633.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/31),17480.0,1일전 (03/30),17480.0,1주일전 (03/24),18940.0,2주일전 (03/17),17060.0,1개월전,19148.0,1년전,14248.0,일평년,15461.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/31),12680.0,1일전 (03/30),12680.0,1주일전 (03/24),14340.0,2주일전 (03/17),12460.0,1개월전,14228.0,1년전,10800.0,일평년,11436.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/01),18200.0,1일전 (03/31),17480.0,1주일전 (03/25),18680.0,2주일전 (03/18),17120.0,1개월전,18975.0,1년전,13720.0,일평년,15347.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/01),13140.0,1일전 (03/31),12680.0,1주일전 (03/25),14080.0,2주일전 (03/18),12520.0,1개월전,14075.0,1년전,10322.0,일평년,11312.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/02),,1일전 (04/01),18200.0,1주일전 (03/26),,2주일전 (03/19),,1개월전,18975.0,1년전,13720.0,일평년,15347.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/02),,1일전 (04/01),13140.0,1주일전 (03/26),,2주일전 (03/19),,1개월전,14075.0,1년전,10322.0,일평년,11312.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/04),18900.0,1일전 (04/03),,1주일전 (03/28),20340.0,2주일전 (03/21),17320.0,1개월전,18456.0,1년전,13450.0,일평년,14815.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/04),13840.0,1일전 (04/03),,1주일전 (03/28),15540.0,2주일전 (03/21),12720.0,1개월전,13820.0,1년전,10053.0,일평년,10827.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/05),18380.0,1일전 (04/04),18900.0,1주일전 (03/29),19540.0,2주일전 (03/22),17400.0,1개월전,18405.0,1년전,13480.0,일평년,14735.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/05),13580.0,1일전 (04/04),13840.0,1주일전 (03/29),14740.0,2주일전 (03/22),12800.0,1개월전,13810.0,1년전,10082.0,일평년,10747.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/06),18320.0,1일전 (04/05),18380.0,1주일전 (03/30),17480.0,2주일전 (03/23),18940.0,1개월전,18405.0,1년전,13400.0,일평년,14689.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/06),13520.0,1일전 (04/05),13580.0,1주일전 (03/30),12680.0,2주일전 (03/23),14340.0,1개월전,13810.0,1년전,10002.0,일평년,10737.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/07),17320.0,1일전 (04/06),18320.0,1주일전 (03/31),17480.0,2주일전 (03/24),18940.0,1개월전,18268.0,1년전,13560.0,일평년,14686.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/07),12520.0,1일전 (04/06),13520.0,1주일전 (03/31),12680.0,2주일전 (03/24),14340.0,1개월전,13672.0,1년전,10162.0,일평년,10790.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/08),17320.0,1일전 (04/07),17320.0,1주일전 (04/01),18200.0,2주일전 (03/25),18680.0,1개월전,18012.0,1년전,13760.0,일평년,14692.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/08),12520.0,1일전 (04/07),12520.0,1주일전 (04/01),13140.0,2주일전 (03/25),14080.0,1개월전,13456.0,1년전,10360.0,일평년,10842.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/09),,1일전 (04/08),17320.0,1주일전 (04/02),,2주일전 (03/26),,1개월전,18012.0,1년전,13760.0,일평년,14692.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/09),,1일전 (04/08),12520.0,1주일전 (04/02),,2주일전 (03/26),,1개월전,13456.0,1년전,10360.0,일평년,10842.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/11),17320.0,1일전 (04/10),,1주일전 (04/04),18900.0,2주일전 (03/28),20340.0,1개월전,17764.0,1년전,13850.0,일평년,15029.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/11),12520.0,1일전 (04/10),,1주일전 (04/04),13840.0,2주일전 (03/28),15540.0,1개월전,13176.0,1년전,10450.0,일평년,11129.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/12),16600.0,1일전 (04/11),17320.0,1주일전 (04/05),18380.0,2주일전 (03/29),19540.0,1개월전,17640.0,1년전,13840.0,일평년,15072.0
