,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/22),46800.0,1일전 (04/21),46600.0,1주일전 (04/15),,2주일전 (04/08),38200.0,1개월전,36700.0,1년전,35680.0,일평년,31613.0,2020-04-22
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/22),41200.0,1일전 (04/21),41000.0,1주일전 (04/15),,2주일전 (04/08),32800.0,1개월전,31500.0,1년전,30800.0,일평년,27187.0,2020-04-22
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/23),46600.0,1일전 (04/22),46800.0,1주일전 (04/16),41800.0,2주일전 (04/09),38200.0,1개월전,36720.0,1년전,35560.0,일평년,31660.0,2020-04-23
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/23),41000.0,1일전 (04/22),41200.0,1주일전 (04/16),36400.0,2주일전 (04/09),32800.0,1개월전,31520.0,1년전,30720.0,일평년,27247.0,2020-04-23
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/24),46600.0,1일전 (04/23),46600.0,1주일전 (04/17),44000.0,2주일전 (04/10),39400.0,1개월전,36400.0,1년전,35440.0,일평년,31673.0,2020-04-24
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/24),41000.0,1일전 (04/23),41000.0,1주일전 (04/17),38600.0,2주일전 (04/10),34000.0,1개월전,31200.0,1년전,30640.0,일평년,27273.0,2020-04-24
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/25),,1일전 (04/24),46600.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,36400.0,1년전,35440.0,일평년,31673.0,2020-04-25
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/25),,1일전 (04/24),41000.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,31200.0,1년전,30640.0,일평년,27273.0,2020-04-25
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/27),45000.0,1일전 (04/26),,1주일전 (04/20),45600.0,2주일전 (04/13),39800.0,1개월전,35520.0,1년전,35350.0,일평년,31877.0,2020-04-27
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/27),39800.0,1일전 (04/26),,1주일전 (04/20),40200.0,2주일전 (04/13),34400.0,1개월전,30320.0,1년전,30550.0,일평년,27477.0,2020-04-27
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/28),47000.0,1일전 (04/27),45000.0,1주일전 (04/21),46600.0,2주일전 (04/14),40000.0,1개월전,35200.0,1년전,35350.0,일평년,31917.0,2020-04-28
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/28),41800.0,1일전 (04/27),39800.0,1주일전 (04/21),41000.0,2주일전 (04/14),34600.0,1개월전,30000.0,1년전,30550.0,일평년,27517.0,2020-04-28
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/29),48400.0,1일전 (04/28),47000.0,1주일전 (04/22),46800.0,2주일전 (04/15),,1개월전,35200.0,1년전,35360.0,일평년,31973.0,2020-04-29
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/29),43200.0,1일전 (04/28),41800.0,1주일전 (04/22),41200.0,2주일전 (04/15),,1개월전,30000.0,1년전,30560.0,일평년,27560.0,2020-04-29
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/30),,1일전 (04/29),48400.0,1주일전 (04/23),46600.0,2주일전 (04/16),41800.0,1개월전,35200.0,1년전,35360.0,일평년,31973.0,2020-04-30
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/30),,1일전 (04/29),43200.0,1주일전 (04/23),41000.0,2주일전 (04/16),36400.0,1개월전,30000.0,1년전,30560.0,일평년,27560.0,2020-04-30
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/01),,1일전 (04/30),,1주일전 (04/24),46600.0,2주일전 (04/17),44000.0,1개월전,35200.0,1년전,35360.0,일평년,31973.0,2020-05-01
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/01),,1일전 (04/30),,1주일전 (04/24),41000.0,2주일전 (04/17),38600.0,1개월전,30000.0,1년전,30560.0,일평년,27560.0,2020-05-01
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/04),49800.0,1일전 (05/03),,1주일전 (04/27),45000.0,2주일전 (04/20),45600.0,1개월전,36500.0,1년전,36950.0,일평년,32690.0,2020-05-04
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (05/04),44600.0,1일전 (05/03),,1주일전 (04/27),39800.0,2주일전 (04/20),40200.0,1개월전,31250.0,1년전,32000.0,일평년,28173.0,2020-05-04
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (05/05),,1일전 (05/04),49800.0,1주일전 (04/28),47000.0,2주일전 (04/21),46600.0,1개월전,36500.0,1년전,36950.0,일평년,32690.0,2020-05-05
