,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/17),205257.0,1일전 (04/16),205257.0,1주일전 (04/10),205257.0,2주일전 (04/03),204114.0,1개월전,204114.0,1년전,217372.0,일평년,189699.0,2020-04-17
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/17),195143.0,1일전 (04/16),195143.0,1주일전 (04/10),195143.0,2주일전 (04/03),193714.0,1개월전,193714.0,1년전,206171.0,일평년,177661.0,2020-04-17
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/17),131400.0,1일전 (04/16),131400.0,1주일전 (04/10),131400.0,2주일전 (04/03),141000.0,1개월전,141200.0,1년전,136800.0,일평년,110800.0,2020-04-17
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/18),,1일전 (04/17),205257.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,204114.0,1년전,217372.0,일평년,189699.0,2020-04-18
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/18),,1일전 (04/17),195143.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,193714.0,1년전,206171.0,일평년,177661.0,2020-04-18
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/18),,1일전 (04/17),131400.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,141200.0,1년전,136800.0,일평년,110800.0,2020-04-18
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/20),205257.0,1일전 (04/19),,1주일전 (04/13),205257.0,2주일전 (04/06),204114.0,1개월전,204114.0,1년전,217943.0,일평년,189958.0,2020-04-20
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/20),195143.0,1일전 (04/19),,1주일전 (04/13),195143.0,2주일전 (04/06),193714.0,1개월전,193714.0,1년전,206743.0,일평년,177920.0,2020-04-20
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/20),131400.0,1일전 (04/19),,1주일전 (04/13),131400.0,2주일전 (04/06),140000.0,1개월전,141000.0,1년전,137200.0,일평년,110800.0,2020-04-20
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/21),204114.0,1일전 (04/20),205257.0,1주일전 (04/14),205257.0,2주일전 (04/07),205257.0,1개월전,204114.0,1년전,217943.0,일평년,190038.0,2020-04-21
